,i,j,clusters
1089,8,65,5
1090,8,66,4
1091,8,67,4
1092,8,68,5
1093,8,69,5
1094,8,70,4
1095,8,71,4
1096,8,72,4
1097,8,73,4
1098,8,74,4
1099,8,75,4
1100,8,76,4
1101,8,77,4
1102,8,78,4
1103,8,79,4
1104,8,80,4
1105,8,81,4
1106,8,82,4
1107,8,83,4
1108,8,84,4
1109,8,85,4
1110,8,86,4
1111,8,87,4
1112,8,88,4
1113,8,89,4
1114,8,90,4
1115,8,91,4
1116,8,92,4
1117,8,93,4
1118,8,94,4
1119,8,95,4
1120,8,96,4
1121,8,97,4
1122,8,98,4
1123,8,99,4
1124,8,100,4
1125,8,101,4
1126,8,102,4
1127,8,103,4
1128,8,104,4
1129,8,105,4
1130,8,106,4
1131,8,107,2
1132,8,108,2
1133,8,109,2
1134,8,110,2
1135,8,111,2
1136,8,112,2
1137,8,113,2
1138,8,114,2
1139,8,115,2
1140,8,116,2
1141,8,117,2
1142,8,118,2
1143,8,119,2
1144,8,120,2
1145,8,121,2
1146,8,122,2
1147,8,123,2
1148,8,124,2
1149,8,125,2
1150,8,126,2
1151,8,127,2
1152,9,0,2
1153,9,1,2
1154,9,2,2
1155,9,3,2
1156,9,4,2
1157,9,5,2
1158,9,6,2
1159,9,7,2
1160,9,8,2
1161,9,9,2
1162,9,10,2
1163,9,11,2
1164,9,12,2
1165,9,13,2
1166,9,14,2
1167,9,15,2
1168,9,16,2
1169,9,17,2
1170,9,18,2
1171,9,19,2
1172,9,20,2
1173,9,21,4
1174,9,22,4
1175,9,23,4
1176,9,24,4
1177,9,25,4
1178,9,26,4
1179,9,27,4
1180,9,28,4
1181,9,29,4
1182,9,30,4
1183,9,31,4
1184,9,32,4
1185,9,33,4
1186,9,34,4
1187,9,35,4
1188,9,36,5
1189,9,37,5
1190,9,38,4
1191,9,39,4
1192,9,40,5
1193,9,41,5
1194,9,42,5
1195,9,43,5
1196,9,44,5
1197,9,45,5
1198,9,46,4
1199,9,47,4
1200,9,48,4
1201,9,49,4
1202,9,50,5
1203,9,51,5
1204,9,52,4
1205,9,53,4
1206,9,54,4
1207,9,55,4
1208,9,56,5
1209,9,57,5
1210,9,58,5
1211,9,59,5
1212,9,60,5
1213,9,61,5
1214,9,62,4
1215,9,63,4
1216,9,64,5
1217,9,65,5
1218,9,66,4
1219,9,67,4
1220,9,68,5
1221,9,69,5
1222,9,70,4
1223,9,71,4
1224,9,72,4
1225,9,73,4
1226,9,74,4
1227,9,75,4
1228,9,76,4
1229,9,77,4
1230,9,78,4
1231,9,79,4
1232,9,80,4
1233,9,81,4
1234,9,82,4
1235,9,83,4
1236,9,84,4
1237,9,85,4
1238,9,86,4
1239,9,87,4
1240,9,88,4
1241,9,89,4
1242,9,90,4
1243,9,91,4
1244,9,92,4
1245,9,93,4
1246,9,94,4
1247,9,95,4
1248,9,96,4
1249,9,97,4
1250,9,98,4
1251,9,99,4
1252,9,100,4
1253,9,101,4
1254,9,102,4
1255,9,103,4
1256,9,104,4
1257,9,105,4
1258,9,106,4
1259,9,107,2
1260,9,108,2
1261,9,109,2
1262,9,110,2
1263,9,111,2
1264,9,112,2
1265,9,113,2
1266,9,114,2
1267,9,115,2
1268,9,116,2
1269,9,117,2
1270,9,118,2
1271,9,119,2
1272,9,120,2
1273,9,121,2
1274,9,122,2
1275,9,123,2
1276,9,124,2
1277,9,125,2
1278,9,126,2
1279,9,127,2
1280,10,0,2
1281,10,1,2
1282,10,2,2
1283,10,3,2
1284,10,4,2
1285,10,5,2
1286,10,6,2
1287,10,7,2
1288,10,8,2
1289,10,9,2
1290,10,10,2
1291,10,11,2
1292,10,12,2
1293,10,13,2
1294,10,14,2
1295,10,15,2
1296,10,16,2
1297,10,17,2
1298,10,18,2
1299,10,19,2
1300,10,20,2
1301,10,21,4
1302,10,22,4
1303,10,23,4
1304,10,24,4
1305,10,25,4
1306,10,26,4
1307,10,27,4
1308,10,28,4
1309,10,29,4
1310,10,30,4
1311,10,31,4
