,i,j,clusters
1182,16,62,3
1183,16,63,3
1184,16,64,3
1185,16,65,3
1186,16,66,3
1187,16,67,3
1188,16,68,1
1189,16,69,2
1190,17,0,2
1191,17,1,2
1192,17,2,1
1193,17,3,3
1194,17,4,3
1195,17,5,3
1196,17,6,3
1197,17,7,3
1198,17,8,3
1199,17,9,3
1200,17,10,1
1201,17,11,4
1202,17,12,1
1203,17,13,1
1204,17,14,7
1205,17,15,4
1206,17,16,1
1207,17,17,1
1208,17,18,5
1209,17,19,4
1210,17,20,4
1211,17,21,4
1212,17,22,4
1213,17,23,4
1214,17,24,4
1215,17,25,4
1216,17,26,4
1217,17,27,7
1218,17,28,4
1219,17,29,4
1220,17,30,4
1221,17,31,4
1222,17,32,4
1223,17,33,4
1224,17,34,1
1225,17,35,1
1226,17,36,4
1227,17,37,4
1228,17,38,4
1229,17,39,4
1230,17,40,4
1231,17,41,4
1232,17,42,4
1233,17,43,7
1234,17,44,7
1235,17,45,4
1236,17,46,4
1237,17,47,4
1238,17,48,4
1239,17,49,4
1240,17,50,4
1241,17,51,4
1242,17,52,4
1243,17,53,4
1244,17,54,4
1245,17,55,4
1246,17,56,4
1247,17,57,4
1248,17,58,1
1249,17,59,1
1250,17,60,6
1251,17,61,1
1252,17,62,3
1253,17,63,3
1254,17,64,3
1255,17,65,3
1256,17,66,3
1257,17,67,3
1258,17,68,1
1259,17,69,2
1260,18,0,2
1261,18,1,2
1262,18,2,1
1263,18,3,3
1264,18,4,3
1265,18,5,3
1266,18,6,3
1267,18,7,3
1268,18,8,3
1269,18,9,3
1270,18,10,1
1271,18,11,1
1272,18,12,1
1273,18,13,1
1274,18,14,7
1275,18,15,1
1276,18,16,1
1277,18,17,1
1278,18,18,1
1279,18,19,1
1280,18,20,4
1281,18,21,4
1282,18,22,4
1283,18,23,4
1284,18,24,7
1285,18,25,7
1286,18,26,4
1287,18,27,4
1288,18,28,1
1289,18,29,4
1290,18,30,4
1291,18,31,4
1292,18,32,4
1293,18,33,4
1294,18,34,4
1295,18,35,4
1296,18,36,4
1297,18,37,4
1298,18,38,4
1299,18,39,4
1300,18,40,4
1301,18,41,4
1302,18,42,1
1303,18,43,1
1304,18,44,4
1305,18,45,4
1306,18,46,4
1307,18,47,4
1308,18,48,4
1309,18,49,4
1310,18,50,4
1311,18,51,4
1312,18,52,7
1313,18,53,4
1314,18,54,4
1315,18,55,4
